Schulart;Ort;Name;Schulnummer;Strasse;PLZ;Telefon;URL
RS;Boppard;"RS Boppard";40085;Marienbergpark;56154;(06742)20710;http://www.marienberg-boppard.de
RS+;Boppard;"RS+ Boppard";41362;"Auf der Zeil";56154;(06742)4893;http://www.fritz-strassmann-schule.de
FOES;Boppard;"SFL Boppard";31374;Buchenauerstr.;56154;(06742)801590;http://www.hps-boppard.bildung-rp.de
GS;Borod;"GS Borod";12583;"Schulstr. 12";57614;(02688)287;
GS;Bottenbach;"GS Bottenbach";21101;"Schulstr. 15";66504;(06339)7455;http://www.grundschule-bottenbach.de
GS;Brachbach;"GS Brachbach";21131;"Konrad-Adenauer-Str. 1";57555;(02745)405;www.grundschule-brachbach.de
GS;Braubach;"GS Braubach";10838;"Stiftstr. 1";56338;(02627)532;http://www.Marksburgschule.net
GS;Breitenbach;"GS Breitenbach";12597;"Auf dem Wilcher 9";66916;(06386)5096;
GS;Breitscheid;"GS Breitscheid";17152;"Marienstr. 4";53547;(02638)4966;www.breitscheid-grundschule.de
GS;Bretzenheim;"GS Bretzenheim";12614;"Stephanskapellenweg 6";55559;(0671)31917;
GS;Brey;"GS Brey";21702;"Schulstr. 1a";56321;(02628)2268;
GS;Brohl;"GS Brohl";21642;"Schulstr. 8";56754;(02672)8272;
GS;Brohl-Lützing;"GS Brohl-Lützing";12630;"Quellenstr. 15";56656;(02633)1581;http://leo-stausberg-schule.de
GS;Bruchmühlbach-Miesau;"GS Bruchmühlbach-Martinshöhe";12657;"Alte Str. 3";66892;(06372)3591;http://www.ganztagsgrundschule.com
GS;Bruchmühlbach-Miesau;"GS Miesau";12644;"Raiffeisenstr. 6 a";66892;(06372)2642;http://www.grundschule-miesau.bildung-rp.de
RS+;Bruchmühlbach-Miesau;"RS+ Bruchmühlbach-Miesau";41959;"Raiffeisenstr. 4 a";66892;(06372)1460;http://adam-mueller-realschule-plus.de
GS;Bruchweiler-Bärenbach;"GS Bruchweiler-Bärenbach";24898;"Gartenstr. 79";76891;"(06394)92 09 560";
GS;Brücken;"GS Brücken/Birkenfeld";25785;"Schulstr. 12";55767;(06782)5377;
GS;Brücken;"GS Brücken/Pfalz";12660;"Wiesenstr. 25";66904;(06386)6410;www.grundschule-bruecken.de
GS;Bruttig-Fankel;"GS Bruttig-Fankel";21008;"Birkenweg 16";56814;(02671)8664;http://www.gs-bruttig-fankel.de/
GS;Büchel;"GS Büchel";12690;"Schulstr. 2";56823;(02678)228;http://www.grundschule.buechel.de
GS;Büchenbeuren;"GS Büchenbeuren";12717;"In den Fichten 2";55491;(06543)6081;
GS;Buchholz;"GS Buchholz-Jungeroth";14266;"Hennefer Str. 48";53567;(02248)4253;http://www.grundschulejungeroth.de
GS;Buchholz;"GS Buchholz/Ww.";12687;"Auf dem Otenbruch 1";53567;(02683)6419;http://www.grundschulebuchholz.de
GRS+;Budenheim;"GRS+ Budenheim/Mainz-Mombach";42220;"Mühlstraße 28";55257;(06139)962024;http://www.lennebergschule.de/
GS;Bullay;"GS Bullay";12747;"Lindenplatz 4";56859;(06542)22020;http://www.gs-bullay.de
GS;Burbach;"GS Burbach";12763;"Schulstr. 56";54597;(06553)2800;
GS;Burgbrohl;"GS Burgbrohl";26537;"Greimerstalweg 19";56659;(02636)2056;http://www.grundschule-burgbrohl.de
FOES;Burgbrohl;"SFL Burgbrohl";30622;"Burgweg 6";56659;(02636)929590;http://www.burgweg-schule.de
GS;Burgen;"GS Burgen";26150;"Schulstr. 48";56332;(02605)4252;http://www.burgen-untermosel.de/grundschule
GS;Busenberg;"GS Busenberg";24901;"Herrenfeldstr. 2";76891;(06391)2954;http://www.Grundschule-Busenberg.bildung
GS;Carlsberg;"GS Carlsberg";21758;Lindenstr.45;67316;(06356)989175;
GS;Clausen;"GS Clausen";24601;"Friedhofstr. 6";66978;(06333)955547;http://www.gs-clausen-donsieders.de
BBS;Cochem;"BBS Cochem";60076;"Ravenéstr. 19";56812;"(02671) 916970";http://www.bbs-cochem.de
GS;Cochem;"GS Cochem";12793;"Jahnstr. 21";56812;(02671)97640;http://www.grundschule-cochem.de
GY;Cochem;"GY Cochem";50840;"Schloßstr. 28";56812;(02671)91679-0;http://mvcg.de
RS+;Cochem;"RS+ Cochem";40307;"Schloßstr. 34";56812;(02671)3051;http://www.rs-cochem.de
GS;Contwig;"GS Contwig";12807;"Felsackerstr. 9";66497;(06336)328;
IGS;Contwig;"IGS Contwig";70321;"Oberauerbacher Str. 53";66497;(06332)996077;http://igs-contwig.de
GS;Daaden;"GS Daaden Daadetal";12810;"Hachenburger Str. 3";57567;(02743)2288;http://www.daadetal-grundschule.de
GS;Daaden;"GS Daaden-Biersdorf";12824;"Friedhofstr. 6";57567;(02743)2239;http://www.grundschule-biersdorf.de
RS+;Daaden;"RS+ Daaden";41376;"Goethestr. 37";57567;02743-6015;http://www.hermann-gmeiner-schule-daaden.de
GS;Dachsenhausen;"GS Dachsenhausen";12837;"Schulstr. 14";56340;(06776)580;
GS;Dahlheim;"GS Dahlheim";26747;"Am Sportplatz";56348;(06771)94160;http://www.guggenmos-schule.de
GS;Dahn;"GS Dahn";24868;"Geschw.-Scholl-Str. 4";66994;(06391)1268;
GY;Dahn;"GY Dahn";51171;"Schloßstr. 19";66994;(06391)914150;http://www.owg-dahn.de
RS+FOS;Dahn;"RS+FOS Dahn";40985;"Schloßstr. 19";66994;(06391)914100;http://www.realschule-plus-dahn.de
GS;Daleiden;"GS Daleiden";10841;"Hauptstr. 5";54689;(06550)746;http://www.gs-daleiden.de
GS;Dannstadt-Schauernheim;"GS Dannstadt-Schauernheim";20633;"Kurpfalzstr. 2";67125;(06231)94184-0;http://www.ghs-dannstadt.de
BBS;Daun;"BBS Daun Maria Hilf";64627;"Maria-Hilf-Str. 2";54550;(06592)7152366;http://www.krankenhaus-daun.de
FOES;Daun;"FöZ Daun";30905;"Schulstr. 5";54550;(06592)980113;http://www.foerderzentrum-daun.de
GS;Daun;"GS Daun";12853;"Freiherr-vom-Stein-Str. 3";54550;(06592)2305;http://www.grundschule-daun.de
GY;Daun;"GY Daun Geschwister-Scholl";50914;"Schulstraße 1";54550;(06592)173010;http://www.dau.shuttle.de/gsgdaun
GY;Daun;"GY Daun Thomas-Morus";51318;"Freiherr-vom-Stein-Str. 14";54550;(06592)983500;http://www.tmg-daun.bildung-rp.de
RS+FOS;Daun;"RS+FOS Daun";40607;"Schulstr. 3";54550;"06592 983180";www.rsplusdaun.de
STUDSEM;Daun;"StudSem GY Trier TD Daun";90612;"Freiherr-vom-Stein-Straße 16";54550;(06592)983338;http://studienseminar.rlp.de/gym/daun.html
GS;Dausenau;"GS Dausenau";12867;"Langgasse 67";56132;(02603)6512;
GS;Deidesheim;"GS Deidesheim";12870;"Heumarktstr. 8";67146;"(06326) 8288";http://www.grundschule-deidesheim.de
IGS;Deidesheim;"IGS Deidesheim-Wachenheim";70228;"Bürgerm.-Oberhettinger-Str. 1";67146;(06326)341;http://www.igs-deiwa.de
GS;Dellfeld;"GS Dellfeld";26657;"Schulstr. 48";66503;(06336)341;
GS;Dernau;"GS Dernau";26357;Römerstr.;53507;(02643)1551;
GS;Dernbach;"GS Dernbach";21011;Hilchenstr.;56428;(02602)7267;http://www.grundschule-dernbach.de
GY;Dernbach;"GY Wirges";51501;"Burgweg 21-23";56428;(02602)1067335;http://www.raiffeisen-campus.de/
GS;Dieblich;"GS Dieblich";25592;"Kirchstraße 32";56332;(02607)4133;http://www.Grundschule-Dieblich.de
GS;Dienheim;"GS Dienheim";12930;"Siliusstr. 4";55276;(06133)4412;http://www.falkenberg-grundschule.de
GS;Dierdorf;"GS Dierdorf";10868;Schulstr.;56269;(02689)3044;http://www.gbsdierdorf.bildung-rp.de
GY;Dierdorf;"GY Dierdorf";50104;"Gymnasialstr. 15";56269;(02689)2970;http://www.mbgdierdorf.de
RS+;Dierdorf;"RS+ Dierdorf";40355;"Schulstr. 22";56269;(02689)94480;http://www.nelson-mandela-schule.de
BBS;Diez;"BBS Diez";60136;"Königsberger Str. 5";65582;(06432)92880;http://www.naos-diez.de
FWS;Diez;"FWS Diez";79034;"Wilhelm-von-Nassau-Str. 19";65582;(06432)80080;http://www.waldorfschule-diez.de
GS;Diez;"GS Diez Karl-von-Ibell";24165;"Dielstr. 10";65582;(06432)5260;http://www.ibellschule.de
GS;Diez;"GS Diez Pestalozzi";24178;"Friedrichstr. 14";65582;(06432)61900;
GY;Diez;"GY Diez";50930;"Danziger Str. 30";65582;(06432)927120;"http://www.shgym-diez.de "
RS+;Diez;"RS+ Diez";40462;"Danziger Str. 32";65582;(06432)927110;http://www.rs-diez.de
GS;Dirmstein;"GS Dirmstein";25892;"Bahnhofstr. 7";67246;(06238)2028;
GS;Dittelsheim-Heßloch;"GS Dittelsheim-Heßloch";12943;"Kämmerergasse 12";67596;(06244)4510;http://von-dalberg-schule.de
GS;Dockweiler;"GS Dockweiler";12957;"Schulstr. 6";54552;(06595)668;
GS;Dohr;"GS Dohr";21355;"Hauptstr. 11";56812;(02671)7177;
FOES;Dohr;"SFGM Dohr";30382;Hauptstr.;56812;02671/987110;http://www.als-dohr.de
GS;Dolgesheim;"GS Dolgesheim";19255;"Gartenfeldstr. 17";55278;(06733)487;www.gag-dolgesheim.de
GS;Dörrenbach;"GS Dörrenbach";25412;"Am Kolmerberg";76889;(06343)1211;
GS;Dreis;"GS Dreis";25065;Kirchstr.;54518;(06578)7244;http://gs-dreis.de
GS;Dudeldorf;"GS Dudeldorf";24315;Schulstr.;54647;(06565)93066;http://www.gs-dudeldorf.de
GS;Dudenhofen;"GS Dudenhofen";27078;"Iggelheimer Str. 33";67373;(06232)900545;http://www.grundschule-dudenhofen.de
RS+;Dudenhofen;"RS+ Dudenhofen/Römerberg";41976;"Iggelheimer Str. 37";67373;(06232)900550;http://www.schule-dudenhofen-roemerberg.de
GS;Düngenheim;"GS Düngenheim";27184;"St. Martin-Str. 33";56761;"[02653] 598-270";http://www.stmartin-dku.de
FOES;Düngenheim;"SFGM Düngenheim";31704;"St. Martin-Str. 33";56761;(02653)598190;http://www.foerderschule.stmartin-dku.de
GS;Ebertsheim;"GS Ebertsheim";13021;"Rodenbacherstr. 4";67280;(06359)3764;http://GsEbertsheim.bildung-rp.de/
GS;Edenkoben;"GS Edenkoben";13048;"Weinstr. 132";67480;(06323)9435-19;http://www.gs-edenkoben.de
GY;Edenkoben;"GY Edenkoben";51441;"Weinstr. 134";67480;06323-94880;http://www.gymnasium-edenkoben.de
RS+FOS;Edenkoben;"RS+FOS Edenkoben";40791;"Luitpoldstr. 74";67480;06323-93813-0;http://www.realschule-edenkoben.de
GS;Edesheim;"GS Edesheim";21851;"Ruprechtstr. 6";67483;(06323)981531;http://gs-edesheim.bildung-rp.de
GS;Ediger-Eller;"GS Ediger-Eller";10871;"Paulusstr. 48";56814;(02675)343;
GS;Eich;"GS Eich";27051;"Schulstr. 2";67575;(06246)906790;http://www.grundschule-eich.de
RS+;Eich;"RS+ Eich";41989;"Schulstr. 2";67575;(06246)906780;http://www.realschulepluseich.de
GS;Eisenberg;"GS Eisenberg";20963;"Schulstr. 12";67304;(06351)122520;http://www.gseisenberg.de
IGS;Eisenberg;"IGS Eisenberg";70365;"Friedrich-Ebert-Straße 19";67304;(06351)126040;http://www.igs-eisenberg.de
RS+;Eisenberg;"RS+ Eisenberg";41842;"Martin-Luther-Str. 12";67304;(06351)122530;http://www.dos-eisenberg.de
GS;Elkenroth;"GS Elkenroth";13078;Jahnstr.;57578;(02747)91570;http://grundschule-elkenroth.bildung-rp.
GS;Ellenz-Poltersdorf;"GS Ellenz-Poltersdorf";21204;"Schulstr. 32";56821;(02673)1670;
GS;Ellerstadt;"GS Ellerstadt";13081;"Bahnstr. 92";67158;(06237)3180;
GS;Elmstein;"GS Elmstein";26690;"Feldpfad 2";67471;(06328)1500;
GS;Elsoff;"GS Elsoff";26660;Dörnerstr.;56479;(02664)5160;
GS;Emmelshausen;"GS Emmelshausen";25559;"Rhein-Mosel-Str. 85";56281;(06747)95395011;
IGS;Emmelshausen;"IGS Emmelshausen";70288;"Rhein-Mosel-Str. 87";56281;(06747)931232;
GS;Enkenbach-Alsenborn;"GS Enkenbach-Alsenborn";13094;"Ringstr. 11";67677;"(06303) 2159";http://www.jggs.de
IGS;Enkenbach-Alsenborn;"IGS Enkenbach-Alsenborn";70078;"Am Mühlberg 23";67677;(06303)92140;http://www.igs-enkenbach-alsenborn.de
FOES;Enkenbach-Alsenborn;"SFL Enkenbach-Alsenborn";31480;"Neukircher Str. 4";67677;(06303)8008580;
GS;Enkirch;"GS Enkirch";13108;"Am Wochenmarkt";56850;(06541)6776;www.grundschule-enkirch.de
GS;Erbes-Büdesheim;"GS Erbes-Büdesheim";21432;"Nackerstr. 22";55234;(06731)908321;http://www.gs-eb.de
GS;Erpel;"GS Erpel";13141;"Winzerstr. 8";53579;(02644)3355;http://www.grundschule-erpel.de
GS;Essenheim;"GS Essenheim";13168;Münchhofpforte;55270;(06136)8323;www.gs-essenheim.de
GS;Essingen;"GS Essingen";13171;"Am Turnplatz 14";76879;(06347)8468;
GS;Esthal;"GS Esthal";13198;"Hauptstr. 63";67472;(06325)8674;http://nachhaltigkeit.bildung-rp.de
GS;Ettringen;"GS Ettringen";26343;"Neue Schulstr. 15";56729;(02651)3128;http://www.grundschule.ettringen-eifel.de
GS;Etzbach;"GS Etzbach";13201;"Wiesenstr. 21";57539;(02682)573;http://www.grundschule-etzbach.de
GS;Fachbach;"GS Fachbach";13214;"Koblenzer Str. 50a";56133;(02603)13310;
GS;Farschweiler;"GS Farschweiler";13228;"Im Kuhbach";54317;(06500)293;
GS;Feilbingert;"GS Feilbingert";13244;"Fröbelstr. 1";67824;(06708)1730;
GS;Fell;"GS Fell";24031;"Im Brühl 1";54341;(06502)2612;
GS;Fischbach;"GS Fischbach";25948;"Hauptstr. 36";55743;(06784)2544;http://www.grundschule-fischbach.de/
GS;Fischbach;"GS Fischbach/Dahn";24884;"Hauptstr. 37";66996;(06393)1350;
GS;Flammersfeld;"GS Flammersfeld";13261;"Südstr. 1";57632;(02685)466;
GS;Flomborn;"GS Flomborn";10898;"Schulstr. 14";55234;(06735)411;http://www.grundschule-flomborn.de
GS;Flonheim;"GS Flonheim";10901;"Bahnhofstr. 5";55237;(06734)475;http://www.lernen-in-flonheim.de
RS+;Flonheim;"RS+ Flonheim";42340;"Bahnhofstr. 5";55237;(06734)475;http://www.lernen-in-flonheim.de
RS+;Flörsheim-Dalsheim;"RS+ Flomborn/Flörsheim-Dalsheim";42204;"Albert-Schweitzer-Str. 1";67592;06243-909680;http://www.rsplus-ffd.de
GS;Föhren;"GS Föhren";24045;"Im Brühl 3";54343;(06502)8890;
GS;Frankenstein;"GS Frankenstein";13291;"Hauptstr. 54";67468;(06329)294;
BBS;Frankenthal;"BBS Frankenthal Albert";60226;"Petersgartenweg 9";67227;(06233)26740;http://www.andreas-albert-schule.de
BBS;Frankenthal;"BBS Frankenthal FOES";60003;"Holzhofstr. 21";67227;(06233)4909-0;http://www.pfalzinstitut-frankenthal.de
FWS;Frankenthal;"FWS Frankenthal";79048;"Julius-Bettinger-Str. 1";67227;(06233)47047;
GS;Frankenthal;"GS Frankenthal Carl-Bosch";10118;"Carl-Bosch-Ring 29";67227;(06233)26530;
GS;Frankenthal;"GS Frankenthal Erkenbert";18713;"Lilienstr. 10";67227;(06233)27513;http://www.erkenbert-grundschule.de/
GS;Frankenthal;"GS Frankenthal Friedrich-Ebert";10405;"Jakobsplatz 3";67227;(06233)43099;www.friedrich-ebert-grundschule.eu
GS;Frankenthal;"GS Frankenthal Lessing";11262;"Gottfried-Keller-Str. 40";67227;(06233)64709;
GS;Frankenthal;"GS Frankenthal Michael-Sattler";27378;"Hanns-Fay-Str. 5a";67227;;
GS;Frankenthal;"GS Frankenthal Neumayer";10808;"Neumayerring 7";67227;"(06233) 298080";www.neumayer-grundschule.de
GS;Frankenthal;"GS Frankenthal Pestalozzi";18893;"Vierlingstr. 12";67227;(06233)220452;
GS;Frankenthal;"GS Frankenthal Schuman";21037;"Ziegelhofweg 16";67227;(06233)64819;
GS;Frankenthal;"GS Frankenthal-Eppstein-Flomersheim";13288;"Falterstr. 12";67227;(06233)54095;http://www.gs-eppstein-flomersheim.de
GS;Frankenthal;"GS Frankenthal-Mörsch";13304;"Hauptstr. 14";67227;(06233)61439;
GS;Frankenthal;"GS Frankenthal-Studernheim";13318;"Frankenthaler Str. 1";67227;(06233)40711;
GY;Frankenthal;"GY Frankenthal Albert-Einstein";50237;"Parsevalplatz 2";67227;(06233)26733;http://www.a-e-g-frankenthal.de/
GY;Frankenthal;"GY Frankenthal Karolinen";50763;"Röntgenplatz 5";67227;(06233)9268;http://www.karolinen-gymnasium-ft.de
IGS;Frankenthal;"IGS Frankenthal";70480;"Ziegelhofweg 16";67227;(06233)64819;http://www.igs-frankenthal.de
RS+;Frankenthal;"RS+ Frankenthal Ebert";42367;"Jakobsplatz 3";67227;(06233)4531;http://www.realschuleplus-frankenthal.de
RS+FOS;Frankenthal;"RS+FOS Frankenthal Schiller";40114;"Mörscher Str. 11";67227;(06233)28194;http://www.schiller-rs.de
FOES;Frankenthal;"SFG Frankenthal";31644;"Neumayerring 1";67227;(06233)298484;
FOES;Frankenthal;"SFGLS Frankenthal";30019;"Holzhofstr. 21";67227;(06233)49090;http://www.pfalzinstitut-frankenthal.de
FOES;Frankenthal;"SFL Frankenthal";30948;"Wormser Str. 59";67227;(06233)220439;www.albert-schweitzer-schule-frankenthal.de
FOES;Frankenthal;"SFS Frankenthal";31810;"Neumayerring 7";67227;(06233)21070;http://neumayerschule.de
GS;Freckenfeld;"GS Freckenfeld";13334;"Raiffeisenstr. 6";76872;(06340)8655;
GS;Frei-Laubersheim;"GS Frei-Laubersheim";13351;"Schulstr. 1";55546;(06709)555;http://www.gs-frei-laubersheim.bildung-rp.de
GS;Freinsheim;"GS Freinsheim";21938;"Haintorstr. 27";67251;(06353)4209;http://www.hsg-freinsheim.bildung-rp.de
GS;Freudenburg;"GS Freudenburg";10928;"Leukstr. 18";54450;(06582)330;http://www.grundschule-freudenburg.de
GS;Friedewald;"GS Friedewald";13364;"Kaiser-Ludwig-Str. 2";57520;(02743)1250;
GS;Friesenhagen;"GS Friesenhagen";26039;"Klosterstr. 7";51598;(02734)7376;www.gs-friesenhagen.de
GS;Fürfeld;"GS Fürfeld";13378;"Schulstr. 1";55546;(06709)318;http://www.schule-fuerfeld.de
GS;Fußgönheim;"GS Fußgönheim";21072;Schulstr.24;67136;(06237)2693;
GS;Gau-Algesheim;"GS Gau-Algesheim";13381;"Schlossgasse 14";55435;(06725)6146;
RS+;Gau-Algesheim;"RS+ Gau-Algesheim";41992;"Appenheimer Str. 4";55435;(06725)91953-0;http://www.realschule-plus-gau-algesheim.de
GS;Gau-Bickelheim;"GS Gau-Bickelheim";11683;"Pestalozzistr. 5";55599;(06701)2892;http://www.gs-gaubickelheim.de
GS;Gau-Bischofsheim;"GS Gau-Bischofsheim";13394;Schulstr.;55296;(06135)951420;http://www.gs-gau-bischofsheim.de
GS;Gau-Odernheim;"GS Gau-Odernheim";10931;"Freiherr-vom-Stein-Str. 49";55239;(06733)929676;http://www.gs-go.de
RS+;Gau-Odernheim;"RS+ Gau-Odernheim";41179;"Rossmarkt 5";55239;(06733)9473111;http://www.rs-go.bildung-rp.de/
GS;Gebhardshain;"GS Gebhardshain";13408;Schulstr.;57580;(02747)3550;http://www.grundschule-gebhardshain.bildung-rp.de
RS+;Gebhardshain;"RS+ Gebhardshain";41389;"Steinebacher Str. 12";57580;(02747)2404;http://www.westerwaldschule-gebhardshain.de
GS;Gemünden;"GS Gemünden/Hunsrück";21175;"Soonwaldstr. 3";55490;(06765)325;http://soonwaldschule-gemuenden.bildung-rp.de
GS;Gemünden;"GS Gemünden/Westerwald";13411;"Hauptstr. 38";56459;(02663)4336;
GS;Gensingen;"GS Gensingen";10451;"Schulstr. 4";55457;(06727)8627;
GS;Gerbach;"GS Gerbach";23997;"Wiesenstr. 7";67813;(06361)1303;www.grundschule-gerbach.de
BBS;Germersheim;"BBS Germersheim";60316;"Paradeplatz 8";76726;(07274)7002-0;http://www.bbs-germersheim.de
GS;Germersheim;"GS Germersheim Eduard-Orth";13438;"Zeppelinstr. 11";76726;(07274)500750;http://www.eduard-orth-grundschule.de
GS;Germersheim;"GS Germersheim Gottfried Tulla";13441;"Schulstr. 3";76726;(07274)70250;
GS;Germersheim;"GS Germersheim Scholl";27231;"Römerweg 2";76726;(07274)702594;
GY;Germersheim;"GY Germersheim";51108;"August-Keiler-Str. 34";76726;(07274)702470;http://www.goethe-gym-ger.de
RS+;Germersheim;"RS+ Germersheim Scholl";42414;"Römerweg 2";76726;"(07274) 91 99 30";http://www.realschuleplus-germersheim.de/3.html
RS+;Germersheim;"RS+ Germersheim Weizsäcker";40758;August-Keiler-Str.;76726;(07274)7072-0;http://www.realschule-germersheim.de/cms/
FOES;Germersheim;"SFL Germersheim";31477;"Am Römerweg 2a";76726;(07274)3095;http://www.nardinischule.de
BBS;Gerolstein;"BBS Gerolstein";60212;"Sarresdorfer Str. 44";54568;(06591)95660;http://www.bbs-gerolstein.de/
FOES;Gerolstein;"FöZ Gerolstein";31897;"Waldstr. 17";54568;(06591)4177;www.hrf-gerolstein.de
GRS+;Gerolstein;"GRS+ Gerolstein";41632;"Lissinger Str. 26 a";54568;(06591)4219;http://www.regionalschule-gerolstein.de
GS;Gerolstein;"GS Gerolstein";19345;"An der Waldstr.";54568;(06591)3372;http://www.grundschule-gerolstein.de
GY;Gerolstein;"GY Gerolstein";51231;"Digoinstr. 1";54568;(06591)3447;http://www.sankt-matthias-gymnasium.de
GRS+;Gillenfeld;"GRS+ Gillenfeld";41646;"Schulstr. 11";54558;(06573)296;www.schule-gillenfeld.de
GS;Gimbsheim;"GS Gimbsheim";23949;"Goethestr. 7";67578;(06249)5926;http://www.gimbsheim.de
GS;Girod;"GS Girod";25322;"Schulstr. 17";56412;(06485)527;http://grundschule-girod.de
GS;Gladbach;"GS Gladbach";25079;"Peter-Mergen-Str. 2 A";54518;(06508)444;
GRS+;Glan-Münchweiler;"GRS+ Glan-Münchw./Herrschw.";41659;"Glanstr. 9";66907;(06383)925960;http://www.glantalschule.de
GS;Gleiszellen-Gleishorbach;"GS Gleiszellen-Gleishorbach";13497;"Schulstr. 1";76889;(06343)1248;
GS;Gödenroth;"GS Gödenroth";13501;"Schulstr. 4";56290;(06762)6696;http://grundschulegoedenroth.wordpress.com
GS;Göllheim;"GS Göllheim";26780;"Jahnstr. 1";67307;(06351)122570;http://www.gs-goellheim.de
RS+FOS;Göllheim;"RS+FOS Göllheim";42007;"Königkreuzstr. 63";67307;(06351)13133;http://rsplusfos-goellheim.de
GS;Gondershausen;"GS Gondershausen";13531;"Schulstr. 41";56283;(06745)9233;
GS;Gossersweiler-Stein;"GS Gossersweiler-Stein";25768;"Kastanienweg 2";76857;(06346)5401;
GS;Grafschaft;"GS Grafschaft Leimersdorf";22482;"An der Arche 10";53501;(02641)27336;http://www.grundschule-leimersdorf.wg.am
GS;Grafschaft;"GS Grafschaft-Ringen";23126;"Im Kreuzerfeld 6";53501;(02641)28363;http://gs-ringen.bildung-rp.de/
GS;Grafschaft;"GS Obere Grafschaft";21955;"Grünstr. 9";53501;(02225)10463;http://www.Grundschule-Gelsdorf.de
GS;Greimerath;"GS Greimerath";13544;"Schulstr. 20";54314;(06587)7231;
GS;Großlittgen;"GS Großlittgen";13558;"Schladter Str. 45";54534;(06575)4738;
GS;Großmaischeid;"GS Großmaischeid";13561;"Schulstr. 2";56276;(02689)5390;http://www.hgs-maischeid.de
GS;Großniedesheim;"GS Großniedesheim";13574;"Kleinniedesheimer Str. 2";67259;(06239)1360;
GS;Grünstadt;"GS Grünstadt Dekan-Ernst";14163;"Südring 7";67269;(06359)937730;http://www.des.bildung-rp.de
GS;Grünstadt;"GS Grünstadt Theodor-Heuss";14115;"Langgasse 74";67269;(06359)960242;
GS;Grünstadt;"GS Grünstadt-Sausenheim";26840;Krummlandweg;67269;(06359)209573;
GY;Grünstadt;"GY Grünstadt";50824;"Kreuzerweg 4";67269;(06359)93210;www.leiningergymnasium.de
IGS;Grünstadt;"IGS Grünstadt";70381;"Pfortmüllerstr. 33";67269;(06359)80880;http://www.igs-gruenstadt.de
FOES;Grünstadt;"SFG Grünstadt";30515;"Westring 62";67269;(06359)2777;
FOES;Grünstadt;"SFL Grünstadt";31464;"Jahnstr. 2";67269;(06359)96840;http://kks-gruenstadt.de
GS;Guckheim;"GS Guckheim";26207;"Schulstr. 12";56459;(06435)2761;http://grundschuleguckheim.de
GS;Guldental;"GS Guldental";13604;Dammweg;55452;(06707)608;
GS;Gundersheim;"GS Gundersheim";13618;"Am Schulberg 2";67598;(06244)5285;http://www.grundschule-gundersheim.de
GS;Guntersblum;"GS Guntersblum";13621;"Götzenstr. 19";67583;(06249)906400;www.carl-kuestner-grundschule.de
GS;Gusenburg;"GS Gusenburg";13634;"Mühlenweg 1";54413;(06503)7747;www.gsgusenburg.de
GS;Gusterath;"GS Gusterath";16474;"Am Schulplatz 1";54317;(06588)2663;http://www.grundschule-gusterath-pluwig.de
GS;Hachenburg;"GS Hachenburg Schloss";13664;"Leipziger Str. 8";57627;(02662)6764;http://gs-hachenburg.bildung-rp.de/
GS;Hachenburg;"GS Hachenburg-Altstadt";13677;"Obere Kirchstr. 1";57627;(02662)1555;
RS+FOS;Hachenburg;"RS+FOS Hachenburg Graf Heinrich";40398;"Kantstr. 19";57627;02662-1790;http://realschule-hachenburg.de
FOES;Hachenburg;"SFLE Hachenburg";30832;"Leipziger Str. 10";57627;(02662)7771;http://burggartenschule.bildung-rp.de
FOES;Hachenburg;"SFS Hachenburg";31867;"Lohmühle 2a";57627;(02662)939457;http://www.schule-am-rothenberg.de
GS;Hackenheim;"GS Hackenheim";13681;"Hauptstr. 30";55546;(0671)69709;http://www.grundschule-hackenheim.de
GS;Hagenbach;"GS Hagenbach";10958;"Am Stadtrand 1";76767;(07273)2520;http://www.hainbuchenschule.info
GS;Hahnheim;"GS Hahnheim";25982;"Bahnhofstr. 68";55278;(06737)1313;http://www.gs-am-selzbogen.de
GS;Hahnstätten;"GS Hahnstätten";24195;"Jahnstr. 21";65623;(06430)928296;http://www.grundschule-hahnstaetten.de
RS+;Hahnstätten;"RS+ Hahnstätten";41392;"Jahnstr. 25";65623;(06430)925629;http://www.realschuleplus-hahnstaetten.de
GS;Halsenbach;"GS Halsenbach";13724;"Hauptstr. 6";56283;"(06747) 6391";http://www.gshalsenbach.de
GS;Hambuch;"GS Hambuch";21372;"Schulstr. 2a";56761;(02653)1409;http://www.gs-hambuch-gamlen.bildung-rp.de
GS;Hamm;"GS Hamm";10435;"Martin-Luther-Str. 4";57577;(02682)969422;http://www.grundschule-hamm.de
IGS;Hamm;"IGS Hamm";70125;"Martin-Luther-Str. 2";57577;(02682)953560;http://www.igs-hamm-sieg.de
GS;Hanhofen;"GS Hanhofen";13711;"Schulstr. 1";67374;(06344)4780;http://gs-hanhofen.de
GS;Hargesheim;"GS Hargesheim";13741;"Schulstr. 33";55595;(0671)32617;
GY;Hargesheim;"GY Hargesheim";50001;"Kirchstr. 54";55595;(0671)483260;http://www.alfred-delp-schule.de
HS;Hargesheim;"HS Hargesheim";25815;"Kirchstr. 54";55595;(0671)483260;http://www.alfred-delp-schule.de
RS;Hargesheim;"RS Hargesheim";41059;"Kirchstr. 54";55595;(0671)483260;http://www.alfred-delp-schule.de
GS;Harthausen;"GS Harthausen";14055;"Schulstr. 1";67376;(06344)8695;
GS;Hasborn;"GS Hasborn";13754;"Am Bahnhof 1";54533;(06574)204;
